,recommend,review
816,1,product exactly described 
817,1,gets signal verizon phones not 
818,0,not job 
819,1,would recommend 
820,1,plan ordering 
821,1,said phone camera nice many cool effects play video decent well 
822,1,satisfied cell phone day one 
823,1,keep getting better better third one 've numerous palms 
824,0,awkward use unreliable 
825,1,shipping time also quick 
826,0,not good hoped 
827,1,good case 
828,0,not work 
829,1,really good product 
830,0,unfortunately not work 
831,0,three broke within two months use 
832,0,dont buy 
833,0,father v265 battery dying 
834,0,however ear pads come easily one week lost one 
835,0,calls drop phone comes screen goes black worst stops ringing intermittently 
836,0,horrible horrible protector 
837,0,not like nokia either 
838,0,reaching bottom row uncomfortable send end keys not expect be.3 
839,0,bought nokia cell phone weeks ago nightmare 
840,0,would take long describe bad customer service experience amazon 
841,0,disappointing thing speakerphone 
842,0,terrible .. car not accept cassette 
843,0,product useless since not enough charging current charge 2 cellphones planning use 
844,0,not says 
845,0,stay away q 
846,0,used dirty 
847,0,unreliable service t-mobile 
848,0,not good enough price 
849,0,bought two neither charge 
850,1,looks nice 
851,1,excellent tool especially paired phone auto-answer 
852,1,read reviews but not problem 
853,0,products cover important light sensor ear outlet 
854,1,comfortable hand 
855,0,not work 
856,0,poor reliability 
857,1,works 
858,0,take picture battery drops bar starts beeping letting know dieing 
859,0,terrible product waste money 
860,0,last time buying 
861,0,waste money 
862,1,far worked like charm 
863,1,weeks but far good 
864,1,but case best part download pictures laptop using ir even send pictures laptop phone 
865,1,would recommend item 
866,1,choice headset years.great sound good volume good noise cancellation 
867,1,nice case feels good hands 
868,0,item received counterfeit 
869,1,really good .. far probably best bt headset ever 
870,1,works fine 
871,1,received headset good time happy 
872,1,pleased see could replace well travled swivel holster blackberry flip 
873,1,sister one also loves 
874,1,good quality 
875,0,far worst purchase 've made amazon 
876,1,excellent dual-purpose headset 
877,1,excellent 
878,0,not work listening music cingular 8125 
879,1,seems completely secure holding belt keeping iphone inside 
880,0,bottowm line another worthless cheap gimmick sprint 
881,0,trouble volume 
882,1,good thing fits comfortably small ears 
883,0,warning not buy 
884,1,pairing iphone could not happier far 
885,0,opens battery connection broken device turned 
886,0,not want clip going top ear causing discomfort 
887,1,best headset ever 
888,0,not trust website not expect helpful support 
889,1,loud.glad say plantronics 510 maintains flawless connection cell static normal use 
890,0,speaker low quality making ring tones sound cheap 
891,1,fits comfortably came three sizes earbud tips 
892,1,excellent product price 
893,0,bad reception 
894,0,product high quality chinese crap 
895,1,quite comfortable ear 
896,1,great phone 
897,0,not buy product fails 
898,0,everything product wrong.first 
899,1,pairing two devices easy barely took couple minutes started making calls voice dialing feature 
900,0,utterly confusing first caused lose couple important contacts 
901,0,terrible phone holder 
902,1,cutouts buttons placed perfectly 
903,1,love able use one headset land-line cell 
904,0,problem ear loops made weak material break easily 
905,0,not nearly good looking amazon picture makes look 
906,1,but despite flaws case exceptional quality well worth additional costs owning official oem product 
907,0,stupid 
908,1,hear 'm driving car usually not even put loudest setting 
909,1,seller shipped quickly much cheaper competitors 
910,1,good show samsung 
911,1,bought 10 saved alot money 
912,0,always cuts makes beep beep beep sound says signal failed 
913,0,could not figure 
914,0,phone sounded ok not great ok but wife phone almost totally unintelligible could not understand word said 
915,0,take battery phone put back together restart 
916,0,managed bend leaf spring back place metal enough stress break next drop 
917,1,leopard print wonderfully wild 
918,1,works 
919,0,saggy floppy piece junk 
920,1,much better hard plastic cases 
921,0,also new problem 
922,1,happy far 
923,1,cool phone 
924,1,works good 
925,1,motorola finally got voice quality bluetooth headset right 
926,0,looses connection phone even within couple feet two 
927,1,but great would really recommend 
928,0,makes easier keep bluetooth 'm not wearing 
929,0,said pretty useless 
930,0,never got 
931,0,pair headphones worst ever sound-wise 
932,0,drain weak snap 
933,0,not charge cingular att 8525 phone 
934,1,get extra minutes carry call not get cut 
935,0,however year fliptop started get loose wobbly eventually screen went black could not receive place calls 
936,0,kept catching cable seat pull phone turn 
937,1,headset fulfills requirements happy purchase 
938,1,logitech bluetooth headset 10 
939,1,like fact rests lightly ear rather inside 
940,1,lot websites rating good phone 
941,1,tried cables computer ipod works fine 
942,0,mic joke volume quite low 
943,0,'m returning 
944,0,not maintain connection computer lap 
945,1,easy turn car volume controls quite accessable 
946,1,mine year christmas bought rest family 
947,1,otherwise easy install use clear sound 
948,1,nice leather 
949,0,purchase different case 
950,1,joy use 
951,0,much disappointed company 
952,1,satisifed 
953,0,not charge 
954,1,phone get 2005 bought s710a say wow 
955,0,buttons small 
956,1,reading specs alone makes say wow 
957,1,love .. great armband 
958,1,really like product motorola allot clearer ear piece mic 
959,0,however keypads tinny sometimes reach wrong buttons 
960,1,exchanged sony ericson z500a 'm pretty happy decision 
961,1,impressed price cases 
962,1,also makes easier hold 
963,1,use product motor control center lot high voltage humming equipment works great 
964,1,pretty easy 
965,0,not make calls certain places 
966,0,however girl complain time phone not wake like normal phone 
967,1,beautiful styling though 
968,0,company charge restocking fee still not given refund back 
969,0,'m trying return refund 
970,0,plugged find not darn thing worked 
971,1,excellent product 
972,0,earbud piece breaks easily 
973,0,lousy product 
974,0,phone tries hard everything but fails ability phone 
975,1,best charger seen market yet 
976,1,sweetest phone 
977,1,oh charger seems work fine 
978,1,fits securely ear hook not even need used sound better directed ear canal 
979,0,not enough volume 
980,0,echo problem unsatisfactory 
981,0,could take 2 videos time quality poor 
982,0,not waste money 
983,0,going first negatively review product 
984,0,adapter not provide enough charging current 
985,0,much hype phone assumed best mistake 
986,0,also not take pictures case lense covered 
987,0,phone falls easily 
988,0,not work people not hear talk 
989,0,text messaging feature really tricky use 
990,0,'m really disappointed charger not work 
991,0,painful ear 
992,0,lasted one day blew 
993,0,disappointed 
994,0,kind flops around 
995,0,screen get smudged easily touches ear face 
996,0,piece junk .. lose calls phone 
997,0,item not match picture 
998,0,thing disappoint infra red port irda 
999,0,not answer calls unit never worked 
1000,0,slow-moving aimless movie distressed drifting young man 
1001,0,not sure lost flat characters audience nearly half walked 
1002,0,attempting artiness black white clever camera angles movie disappointed became even ridiculous acting poor plot lines almost non-existent 
1003,0,little music anything speak 
1004,1,best scene movie gerardo trying find song keeps running head 
1005,0,rest movie lacks art charm meaning emptiness works guess empty 
1006,0,wasted two hours 
1007,1,saw movie today thought good effort good messages kids 
1008,0,bit predictable 
1009,1,loved casting jimmy buffet science teacher 
1010,1,baby owls adorable 
1011,1,movie showed lot florida best made look appealing 
1012,1,songs best muppets hilarious 
1013,1,cool 
1014,1,right case movie delivers everything almost right face 
1015,0,average acting main person low budget clearly see 
1016,1,review long overdue since consider tale two sisters single greatest film ever made 
1017,1,put gem movie terms screenplay cinematography acting post-production editing directing aspect film-making 
1018,1,practically perfect true masterpiece sea faux masterpieces 
1019,0,structure film easily tightly constructed history cinema 1 think film something vitally important occurs every minute 1 words content level film enough easily fill dozen films 1 anyone right mind ask anything movie 1 quite simply highest superlative form cinema imaginable 1 yes film require rather significant amount puzzle-solving but pieces fit together create beautiful picture 1 short film certainly pulls punches 0 graphics far best part game 0 number one best th game series 1 deserves strong love 1 insane game 1 massive levels massive unlockable characters massive game 1 waste money game 1 kind money wasted properly 1 actually graphics good time 1 today graphics crap 0 say canada fun game aye 1 game rocks 1 buy play enjoy love 1 pure brilliance 1 flick doomed conception 0 idea lame take minor character mediocre pg-13 film make complete non-sequel changing tone pg-rated family movie 0 not least bit interested 0 not confirm film would unfunny generic but also managed give away entire movie 'm not exaggerating every moment every plot point every joke told trailer 0 but not funny 0 but even talented carrell not save 0 co-stars not fare much better people like morgan freeman jonah hill ed helms wasted 0 story predictable lazy 0 real effects work presence animals integration scenes worst obvious blue/green-screen work 've ever seen 0 but whatever cost much not translate quality sure 0 film succeeds despite perhaps obviously meagre budget 1 'm glad film not go obvious choice lesser film certainly would 1 addition one lovely songs ever written french cancan also boasts one cutest leading ladies ever grace screen 1 hard not fall head-over-heels love girl 1 negative insipid enough cause regret another 2 hours life wasted front screen 0 long whiny pointless 0 but recommend waiting future efforts let one go 0 excellent cast story line performances 1 totally believable 1 anne heche utterly convincing 1 sam shepard portrayal gung ho marine sobering 1 sat riveted tv screen 1 give one resounding 9 10 1 think tom hanks good actor 1 enjoyed reading book children little 1 disappointed movie 0 one character totally annoying voice gives feeling fingernails chalkboard 0 totally unnecessary train/roller coaster scene 0 absolutely warmth charm scenes characters 0 movie totally grates nerves 0 performances not improved improvisation actors twice much worry not whether delivering line well but whether line good 0 quite honestly often not good 0 often dialogue not really follow one line another fit surroundings 0 crackles unpredictable youthful energy but honestly found hard follow concentrate meanders badly 0 generally great things 1 would not say worth 2 hours time though 0 suspense builders good cross line g pg 1 especially liked non-cliche choices parents movies could predict dialog verbatim but writing movie made better selections 1 want movie not gross but gives chills great choice 1 alexander nevsky great film 1 amazing film artist one important whoever lived 1 'm glad pretentious piece not planned dodge stratus big shots gon na help movie makers not restrained movie business 
1020,1,first movie 've given 10 years 
1021,1,ever movie needed word-of-mouth promote 
1022,1,overall film interesting thought-provoking 
1023,1,plus well-paced suited relatively short run time 
1024,1,give one look 
1025,1,gave 10 
1026,1,wind lion well written superbly acted 
1027,1,true classic 
1028,1,actually turned pretty decent far b-list horror/suspense films go 
1029,1,definitely worth checking 
1030,0,problem script 
1031,0,horrendous 
1032,0,nothing believable 
1033,0,suspense feeling frustration retarded girls 
1034,1,manna heaven terrific film predictable unpredictable time 
1035,1,scenes often funny occasionally touching characters evaluate lives going 
1036,1,cast veteran actors nostalgia trip 
1037,1,ursula burton portrayal nun touching funny time making fun nuns church 
1038,1,looking movie terrific cast good music including shirley jones rendition way look tonight uplifting ending give one try 
1039,1,not think disappointed 
1040,0,frankly cotton club unfaithful kind embarrassing watch lane gere film bad 
1041,0,acting bad dialogs extremely shallow insincere 
1042,0,predictable even chick flick 
1043,0,politically correct 
1044,0,disappointing 
1045,1,thing really worth watching scenery house beautiful 
1046,0,love lane but 've never seen movie lousy 
1047,0,hour half wish could bring back 
1048,1,but terms writing fresh bold 
1049,1,acting helps writing along well maybe idiot-savant sister could played better real joy watch 
1050,0,directing cinematography not quite good 
1051,0,movie boring sometimes found occupied peaking paper instead watching never happened columbo movie 
1052,0,sometimes embarrassing look away 
1053,0,directing seems pretentious 
1054,0,scenes oh-so-mature neighbour-girl misplace 
1055,0,generally lines plot weaker average episode 
1056,0,scene debated whether not sack trumpeter falsely accused murder pure horror really stupid 
1057,1,applause given prelude however 
1058,1,really liked 
1059,1,great film great director 
1060,1,movie edge seat made somewhat afraid go car end night 
1061,1,music film really nice 
1062,1,'d advise anyone go see 
1063,1,brilliant 
1064,1,10/10 
1065,1,liked movie way much 
1066,0,problem thought actor playing villain low rent michael ironside 
1067,1,rocked world certainly must see anyone social physical outlets 
1068,0,however not make fact overall tremendously boring movie 
1069,0,chemistry ben affleck sandra bullock film could not understand would consider even leaving wife-to-be chick supposedly knocked 
1070,0,several moments movie not need excruciatingly slow moving 
1071,0,poor remake best friends wedding 
1072,0,great disappointment 
1073,0,not believe actors agreed film 
1074,0,could not stand even watch long fear losing i.q 
1075,0,guess nobody network aired dribble watched putting 
1076,0,imdb ratings go low 1 awful time get negative numbers cases 
1077,0,saw mirrormask last night unsatisfactory experience 
1078,0,unfortunately inexperience direction meant scene scene passed little way dramatic tension conflict 
1079,0,central themes film handled ineptly stereotypically depth imagination 
1080,0,pretty pictures world not make piece work flawed core 
1081,0,hour half waste time following bunch pretty high schoolers whine cry life 
1082,0,not relate hell barely understand 
1083,1,definitely cult classic well worth viewing sharing others 
1084,0,movie pure disaster story stupid editing worst seen confuses incredibly 
1085,0,fish badly made underwater shots repeated thousand times film 
1086,0,truly truly bad film 
1087,0,acting terrible writing worse 
1088,0,possible way movie could redeemed would mst3k fodder 
1089,0,paid much 
1090,1,also real treat see anthony quinn playing crazy horse 
1091,0,boring 
1092,0,plot whatsoever 
1093,0,plot 
1094,0,horrible 
1095,0,worst hour half life oh gosh 
1096,0,walk theatre minutes get relief 
1097,0,hate movies like 
1098,0,yeah movie pretty much sucked 
1099,0,plot storyline 
1100,0,go see movie bring pillow girlfriend/boyfriend keep occupied 
1101,0,awful 
1102,0,not think 've ever gone movie disliked much 
1103,0,good thing tickets cost five dollars would mad 'd paid 7.50 see crap 
1104,0,nobody identifies characters cardboard cutouts stereotypes predictably reverse-stereotypes 
1105,0,bad film bad writing good actors ugly cartoon crafted paul haggis people not handle anything but bold strokes storytelling picture painted crayons 
1106,0,crash depressing little nothing provokes emotion but teaches nothing already know racism prejudice bad things 
1107,1,still like movie empowerment women not enough movies like one 
1108,0,brain attempt shut-down part primal impulse self-preservation 
1109,0,left shattered experience watching 'film took good two hours fully recover 
1110,0,movie joins revenge boogeyman zombiez part hellish trinity horror films 
1111,0,certainly not mean distinction good way 
1112,0,mean terrible way 
1113,0,film redeeming features 
1114,0,everything appalling 
1115,0,artless camera-work endlessly presents us ugliest setting imaginable i.e 
1116,0,story beyond stupid 
1117,0,script script 
1118,0,kids annoying 
1119,0,lead man charisma-free 
1120,0,utterly without merit level akin torture 
1121,0,even say torture 
1122,0,maybe would reasonable explanation atrocity 
1123,0,not pleasant voyage self-discovery 
1124,0,highly unrecommended 
1125,0,premise sound stupid 
1126,0,yes bad 
1127,0,nothing recommend 
1128,1,excellent performance ms 
1129,1,garbo showed right bat talents could carry silent era wanted see silent work but netflix not seem stocking 
1130,1,also great see renowned silent screenwriter frances marion not missed step going silent sound 
1131,0,movie suffered writing needed suspense 
1132,0,many close ups 
1133,0,but movie seemed drag heroes not really work freedom 
1134,0,but movie definitely average rent 
1135,1,love 1 movie bad 0 bad 0 film way long 0 definitely one bad ones 0 movie received great quality film age 1 john wayne incredible job young movie industry 1 screen presence shined thought even though senior actors screen 1 think must see older john wayne film 1 really not see anyone could enjoy movie 0 not think 've ever seen movie half boring self-indulgent piece junk 0 probably would better director not spent movie showcasing art work really not noteworthy 0 another thing not really like character got punched face gallon blood would spew forth soon 0 jamie foxx absolutely ray charles 1 performance simply genius 1 owns film spacek owned coal miner daughter quaid owned great balls fire 
1136,0,fact hard remember part ray charles acted not played man 1 ray charles legendary 1 ray charles life provided excellent biographical material film goes well beyond another movie musician 1 hitchcock great director 1 ironically mostly find films total waste time watch 0 secondly hitchcock pretty much perfected thriller chase movie 1 pandering audience sabotages films 0 hence whole story lacks certain energy 0 plot simply rumbles like machine desperately depending addition new scenes 0 usual hitchcock logic flaws 0 mishima extremely uninteresting 0 chilly unremarkable movie author living/working chilly abstruse culture 0 flat reenactments not hold attention emotionally adrift stagy 0 rest sits awful soldiers singing songs masculinity pledge hairsplitting purity admiration swords etc 0 bore pieces kill momentum movie quicker anyone else 0 schrader made resume full lousy amateurish films 0 first watched movie 80s loved 1 totally fascinated music dancing everything 1 however recently watched whole thing dvd completely struck extremely stupid storyline contained holes inconsistencies frankly whole lot crap horrid dancing 0 mean realistic world would never gotten ballet repertory whole thing quite pathetic 0 character developments also lacked depth 0 woa talk awful 0 not waste time 0 horrible 0 worst sappiest dialogue could go 0 but really made unwatchable direction 0 poor actors 0 not even tell talent not pathetic lines speak but director gave action 0 check director filmography site see film not chance 0 would not even good made tv flick 0 good intentions made film great film might one greatest films ever made 1 film great actors master director significant theme -- least would-be significant theme undertone fifties existential world-weariness aerial scenes ought thrilled senses imagination characters one might deeply care 1 regrettably film fails 0 movie lacks visual interest drama expression feeling celebration patriotism underlines narrative 0 actress worse used june allison movie 0 yet enjoy watching 1 unfortunately bad movie plain bad 0 bad script bad direction horrible acting make one plain bad 0 dialogue sucked 0 cinematography-if called that-sucked 0 soundtrack sucked 0 acting sucked 0 concert sequences sucked 0 nice 1 funny 1 funny 1 overall movie cheap trash 0 but movie not funny considering ridiculousness 0 came feeling angry 0 spoilers whatever else not said surface superbly crafted 1 cinematography simply stunning say least fx nothing not state-of-the-art 1 conceptually show offers little bit everything- everybody parents kids fantasy and/or fx fans 1 not single sour note struck acting-wise either surprisingly solid casting 1 things considered job well done 1 thanks good movie like done released 1 one best mexican movies ever one less understood even mexican matter identified felt 1 ranks highly great noir-crime-drama incredible performances belmondo lino ventura 1 attention given every character complex psychological portrayals detailing loyalty treachery love hope tremendous 1 excellent drama excellent thriller excellent film 1 best melville 1 everything film simply incredible 1 truly take journey eyes soul child 1 black water thriller manages completely transcend limitations indie flick continually subverting expectations emerge intense experience 1 performances real gripping crocdodile extremely well done indeed black water website believed used real crocs swamp location fabulous 1 thoroughly enjoyed christopher eccleston took control tardis continuation series 1 'm not sure trying film 0 turn good day feeling night disturbing memories guess succeeded 0 lot beautiful places 1 forced like everything movie 0 lame 0 movie really pi ed 0 not even get started jerky camerawork 0 saw theater thought going sick 0 summary witticisms not witty 0 plot well said 'd let one go 0 acting bad 0 really bad 0 even billy bob could not rise script worse 0 camerawork bad 0 rating 1 10 0 amazing finale possibly best trilogy time 1 kieslowski never ceases amaze 1 one favourite directors one talented directors history cinema 1 use colours french flag three films nothing short incredible every shot every scene like work art 1 three visually appealing movies 've ever seen 1 subtle connections three films awesome 1 mention huge spoiler loved ending characters three films remaining survivors ferry disaster valentine young judge together old man watching tv solidifying happiness suffering dealt many years 1 could not think better way end film but smile face great way wrap amazing film trilogy 1 recommend everyone loves film movies anything work art 1 10 10 movie trilogy 1 literally vomited watching film 0 think one people found another one roth pearls 1 performance awarded stunning 1 story told eloquently francis ford coppola 25 years earlier really unfolds gradually leaves room characters develop 1 wonderful location lies story contrast 1 beautiful directed film nicola roeg wih sublime cast 1 'm translating movies living first movie 5-year working experience found offensive intelligence 0 but someone strives greatness poetry but delivers muddled often ridiculous story bunch disparate scenes pretentious dialogue get worst kind movie reviewer accurately defined pretentious crap 
1137,0,find movie intelligent even masterful say intelligence imagination obviously used try make sense pitiful attempt human nature try make sense things 
1138,0,one thing tolerate political incorrectness well 'm artistic freedom suspension disbelief but slavic female character much 
1139,1,fun funny movie 
1140,1,highly entertaining angles 
1141,1,features outlandish array memorable psychotic but lovable nuts 
1142,1,enjoyment get see run around play games dangerous 
1143,1,even sweet moments 
1144,1,telephone repair man really funny reactions nuts bitchy boss truly genuine 
1145,1,characters film tremendously well played 
1146,1,really find funny 
1147,1,actually smart movie 
1148,1,brilliant twist ending 
1149,0,love 1 ending perfect shed tear 1 thrilled seeing movie like 1 never forget 1 not cult cult classic 1 depth character man underneath 0 malta settings dry barren dialogue 0 movie terrible 0 hockey scenes terrible defensemen playing like 5 years old goalies diving shots 10 feet wide net etc 0 not seen not waste time 0 call movie drama ridiculous 0 started watching but not believe characters 0 particular relationship bakery assistant waitress not work 0 superficial movie gave feeling watching play rather film 0 characters 'stagey storyline lot like stage farce 0 time pyromaniac waylaid assistant bored not care happened next switched 0 glad not pay see 0 not laugh even smile 0 but not anything one big yawn 0 really good show watch 1 educational children 1 8 years old 1 barney definitely super de duper 1 pretty funny 1 babie bop cute 1 kids cool 1 but storm trooper not even bad enough make list wonderfully terrible movies 
1150,0,lame 
1151,0,guy said better dialogue potted plants right 
1152,0,everything movie stupid 
1153,0,even love bad movies not watch movie 
1154,0,shameful 
1155,1,would give television series 10 plus could 
1156,1,writers smack think best actors actresses bonus show.these characters real 
1157,1,must say taped episodes find watching 
1158,1,know gave 10+ 
1159,1,not know exactly movie but latched endearing movie become special part family memories 
1160,1,totally absolutely recommend movie anyone likes good wholesome family movies exactly 
1161,1,things four kids get absolutely hilarious watch 
1162,1,one best movies shows strong sibling bond 
1163,1,much interesting action suspense less unneeded controversy 
1164,1,everything acting cinematography solid 
1165,1,definitely worth checking 
1166,1,damian talented versatile many ways writing portraying different characters screen 
1167,1,movie cutting edge 
1168,1,pleased know modern day genius letting passion art drive taking us audience 
1169,0,new characters not memorable found forgetting 
1170,0,felt though going ireland absolutely nothing whatsoever 
1171,0,not make scared horrified make sympathetic towards characters simply annoying 
1172,0,jerky camera movements also annoying 
1173,0,plot pretty much every cheap horror 
1174,0,pathetic attempts give characters depth but not really work rest plot 
1175,0,guess supposed clever twist shed light situation but stupid 
1176,0,see probably leave shelf 
1177,1,elias koteas jack palance play good roles angelina hot gets naked.billy drago appears cool usual cameo sven ole thorsen helps make enjoyable movie good acting decent budget 
1178,1,awesome movie bought ebay 
1179,1,really loved story line poler bear kinda cute.but anyone question fort steele ask away 
1180,0,totally unfunny movie top pathetic unrealistic throughout whole 90 minutes utter torture probably looked watch 70000 times 
1181,0,lucy bell much higher crap sink low quite depressing 
1182,0,movie make sick watching slackers make excuses stupid actions 90 minutes 
1183,0,god never get 90 minutes back 
1184,1,think wonderful parts literally full wonder excerpts works 
1185,1,sets especially designed work camera amazing stylized beautiful effective 
1186,1,could used exemplars set designer 
1187,1,stories powerful explorations nature man art 
1188,1,watching film wanted learn works artist 
1189,1,highly recommend movie anyone interested art poetry theater politics japanese history 
1190,1,wind lion see wonderful rendering america imperial age 
1191,1,makes story different terrific production values faultless photography composition editing terrific casting underappreciated brian keith playing bully teddy vivid history 
1192,1,though wind lion told largely eyes son every member family identify one characters whether sean connery noble brigand candace bergen feisty heroine john huston wily john hay steve kanaly spiffy radiant ruthless can-do lieutenant roosevelt big stick 
1193,1,high adventure best 
1194,1,think robert ryans best film portrayed someone like father schizophrenic real life father although never murdered anyone but affected second world war made worse 
1195,1,humour get get day apt 
1196,1,mother brother saw robert ryan portraying type man good imitation type individual impressed 
1197,0,almost songs cover girl old-fashioned not tuneful 
1198,0,annoying thing 'cover girl way rita hayworth put pedestal 
1199,0,unfortunately 'cover girl example hollywood used exploit women financial gain 
1200,1,non-linear narration thus many flashbacks every part articulated quite well 
1201,1,good cinematography also makes monica bellucci look beautiful 
1202,1,good commentary today love undoubtedly film worth seeing 
1203,1,people first timers film making think excellent job 
1204,1,popular cinema good house good reactions plenty laughs 
1205,1,feel-good film felt came cinema 
1206,1,northern humour positive community represents 
1207,1,rather enjoyed 
1208,1,liked 
1209,0,could not take seriously 
1210,1,really created unique feeling though 
1211,1,vivian schilling excellent job script 
1212,1,world better 95 garbage theatres today 
1213,1,role played well 
1214,1,not screamy not masculine but right 
1215,1,camera really likes movie 
1216,1,would casted role ready script 
1217,1,european movie nice throwback time student 1980 experiences living abroad interacting nationalities although circumstances slightly different 
1218,0,fan movie sucked really bad 
1219,0,even worse ticker 
1220,0,movie bad 
1221,0,like 3 4 buildings used couple locations maybe poor hummh 
1222,0,blew 
1223,1,movie excellent angel beautiful scamp adorable little yelps hes scared funniest parts scamp caught curtain angel scamp singing 'ive never feeling before'.i totally recommend movie coming special edition june 20.the cover scamp garbage angel underneath lid 
1224,1,cant explain movie romantic charming hilarious adorable.the junkyard scenes funny junkyard dogs something special.too funny laughed kids love it.buy comes new features 
1225,0,chosen tortured disgusting piece blatant american propaganda 
1226,0,show made americans stupid full hatred admitted elsewhere 
1227,0,almost everyone involved must return school acting utterly predictable bad script pile garbage round 
1228,0,wish could enter negative values admins 
1229,0,sets bad would not look place thunderbirds episode 
1230,0,use slow-motion needlessly repeats throughout movie but well backed bad acting bad kind word continuity scenes thrown reason whatsoever vehicles looked like made corn flakes box directorial style bordered stupidity 
1231,0,oh yeah storyline pathetic 
1232,0,hate writing bad reviews films especially really like star but film bad not believe one second anyone could proud 
1233,0,not filmmaker director but would hide head sand 'd spent whatever amount money time movie 
1234,0,short monumental waste time energy would not recommend anyone ever see film 
1235,0,came free dvd player bought but still turned thing halfway embarrassed howell 
1236,0,1/10 setting 0/10 
1237,1,interesting premise billy drago always good dangerous nut-bag side note 'd love see drago stephen mchattie lance hendrikson flick together talk raging cheekbones 
1238,1,soundtrack not terrible either 
1239,0,but acting -- even professionals drago debbie rochon -- terrible directing worse perhaps contributory former dialog chimp-like camera work barely tolerable 
1240,1,still sets got big 10 oy-vey scale 
1241,0,yes simplifying things sake brevity really core problems film much going without real fulfilling explanation 
1242,1,good jobs quite amusing 
1243,0,but convoluted plot not convince much film watched weird questioning glance 
1244,0,let girlfriend talk seeing bad idea hated 
1245,1,last 15 minutes movie also not bad well 
1246,0,bela lugosi totally extraneous intoning odd lines 
1247,0,acting decidely wooden though worse period universal b movie 
1248,1,like armand assante cable company summary sounded interesting watched twice already probably 
1249,1,believe screenwriter good job tying loose ends 
1250,1,8/10 score mostly plot 
1251,1,not say not like spoilers not want one but believe film worth time 
1252,0,wow bad film 
1253,0,not frightening least barely comprehensible 
1254,0,plot not hang together acting absolutely appalling 
1255,0,not even good camp value 
1256,0,not expecting oscar material but 
1257,0,'d iq particularly stupid mollusk not see one coming 
1258,0,film use word loosely insult movie-going public 
1259,0,someone involved knew string together narrative 
1260,0,gets 1 10 simply nothing lower 
1261,0,one not but watched recently fox movie channel disappointed 
1262,0,know contract player little control scripts but acting bad script 
1263,0,victor mclaglen even bad brian donlevy almost unrecognizable 
1264,0,considering relations screen taylor stanwyck surprising little chemistry screen two 
1265,0,but premise film ridiculous president u.s 
1266,0,death row scenes entirely unmoving 
1267,0,thing worse taylor acting stanwyck singing 
1268,0,whatever producer going missed entirely 
1269,1,deeply impressed character played 
1270,1,knew saw film great things come gifted actor 
1271,0,cheap cheerless heist movie poor characterisation lots underbite style stoic emoting think chow yun fat better tomorrow cheesy thrown abandoned factory ready poorly executed flying judo rolls la john woo 
1272,0,even squibs look awful 
1273,0,point proceedings look remotely like america 
1274,0,plot derivative predictable ending like mercy killing 
1275,0,awful dialogue hopeless overacting everyone gets shot top real waste space time 
1276,0,uneasy bad movie but not scared 
1277,0,dialogue composed things make little sense 
1278,0,30 minutes footage wasted show mediocre elderly actors awkwardly babbling overwrought pseudo-satanic gibberish corny enough make teen goth blush almost always olde english sometimes latin may may not made words 
1279,0,directing sloppy best 
1280,0,hackneyed writing certainly but made even worse bad directing 
1281,0,course acting blah 
1282,0,acting whole cast could put scale balanced perfectly overacting underacting 
1283,0,finally get ending would 've great handled competent people not jerry falwell 
1284,1,loved movie great portrayal family share ups but end knew special love 
1285,1,seen many movies starring jaclyn smith but god one best though came 12 years ago 
1286,1,movie contained all-star cast loved opened eyes see actors not seen 
1287,1,movie kind long length but enjoyed every minute 
1288,1,overall rate movie 10 1-10 scale 
1289,1,lifetime not air enough anyone knows store sells let know must-have 
1290,0,particularly remember senses assaulted strident cords music would blare little warning even less meaning 
1291,0,sort pap screened afternoon punish unemployed not jobs 
1292,1,totally different loads understatement black comedy film get see but remember 
1293,1,movie creates universe fascinating every way 
1294,1,but movie really got 
1295,1,see 
1296,1,really hope team behind movie makes movies continue kinda weird style 
1297,1,forgot casting superb trond fausa perfect role bothersome man not understand 
1298,1,movie good humorous comment life 2006 
1299,1,found move beautiful enjoyable uplifting 
1300,1,initially local sites film filmed buffalo intrigued 
1301,1,later found lost power film 
1302,1,entire audience applauded conclusion film 
1303,1,left theater lilt step joy heart hope human race 
1304,1,duris wholesome appearance gives fine performance 
1305,1,rest cast also play well 
1306,1,cinematography noteworthy including fine views barcelona famed gaudi towers 
1307,0,ten minutes film started second thoughts 
1308,0,half way film started dislike 
1309,0,time film ended not disliked despised 
1310,0,film lacks convincing script 
1311,0,script looks rough draft written shooting began finished script completed 
1312,0,things happen characters personalities change plot twists occur real reason script calls 
1313,1,cast good 
1314,1,worth checking 
1315,0,probably irritating show ever seen entire life 
1316,0,indescribably annoying idiotic show ever seen 
1317,0,everything bad 
1318,0,could not understand kind idiot would produce mess first place not mention several season 
1319,0,script bad bad contains cheesiness unethical joke normally see rated r nc-17 movie 
1320,0,casting also horrible cause see really really bad actors period 
1321,0,final word show real torture 
1322,0,zillion times away reality 
1323,0,watching washing machine twirling around would not hurt eyes much show 
1324,0,rating 0/10 grade z note show bad even mother cast pull daughter show 
1325,0,20th century fox road house 1948 not quite silly noir but implausible unmitigated bore movie 
1326,0,full unconvincing cardboard characters blandly written edward chodorov also produced surprisingly directed jean negulesco one would expect great deal 
1327,0,widmark character turns unintentionally comical 
1328,0,losing marbles early proceedings totally implausible unconvincing 
